,,A,B.E.,CDS-PP,CH,IL,JPP,L,MAS,MPT,NC,PAN,PCP-PEV,PCTP/MRPP,PDR,PNR,PPD/PSD,PPM,PS,PTP,PURP,R.I.R.
01,645655,2178,35068,20045,2600,3582,264,2409,,707,623,10424,10738,1892,561,694,118141,387,120839,559,701,2750
02,122987,252,5833,1480,1313,279,,397,,169,118,1269,14655,865,101,200,8544,95,26161,73,,
03,778173,2182,41331,19127,3177,3804,411,3179,544,1000,1017,11934,18443,2318,620,862,158652,428,169468,522,549,3469
04,141541,309,3833,2831,533,271,,270,,,137,831,1347,313,121,172,25909,75,23215,101,184,360
05,170075,715,10352,3479,1187,543,,834,,226,,2231,4451,694,125,246,24674,183,38302,157,273,541
06,380095,2106,22808,7103,1836,1676,149,1926,251,417,441,5355,11402,1031,453,623,54279,245,79590,,402,1154
07,136696,459,6624,2535,1645,490,,503,,143,311,1446,13980,922,70,179,12937,114,28371,82,154,334
08,376801,1310,21255,6572,3690,1424,,1704,,740,733,8238,12180,1513,359,729,38516,408,63469,356,499,1035
09,151535,406,5990,3823,1135,461,,373,,122,118,1223,2295,363,103,165,26343,80,28783,171,154,458
10,415065,2183,20925,11905,3321,2054,217,2053,167,667,583,6413,9537,1631,546,622,74961,492,69482,380,486,1653
11,1921047,14036,106944,48502,22053,27166,,22807,1236,2783,2713,48536,85789,8923,1884,4819,248937,1958,404677,1169,2101,4530
12,96391,269,4166,1961,1407,255,,291,,93,,856,5480,628,68,156,10375,,23013,61,114,208
13,1594688,4370,94553,31181,5708,14221,1074,8952,522,1721,1656,32328,44859,5047,1446,1948,291183,857,342496,1395,1899,10545
14,380489,1698,21141,9793,4210,1605,,1782,,471,814,5364,15662,1432,605,834,52141,468,76836,265,498,1266
15,736685,2889,47863,11703,7643,4133,,4874,326,1106,1025,17529,62236,3538,692,1771,56860,739,152433,431,1033,2107
16,240917,679,10320,7576,858,692,587,688,,209,259,2876,4839,671,281,292,41196,204,42392,208,212,1058
17,219087,700,6078,4510,791,425,,549,,,171,1651,2519,579,185,162,39143,188,37306,,,648
18,348061,1215,13956,10462,1721,974,118,875,,256,332,3778,4082,900,457,326,64373,356,62833,239,363,1336
30,258144,630,6806,7852,911,922,7125,480,,465,188,2361,2702,790,443,202,48231,180,43373,1185,801,1185
40,228954,732,6661,4014,709,568,,714,112,326,,2215,2045,528,100,268,25249,418,33472,145,,
50,9343086,39318,492507,216454,66448,65545,9945,55660,3158,11621,11239,166858,329241,34578,9220,15270,1420644,7875,1866511,7499,10423,34637
0101,42697,133,2068,1252,178,164,23,121,,45,39,489,658,119,42,41,7754,13,8209,49,42,124
0102,22543,54,1097,1441,109,92,15,69,,22,21,344,305,61,35,23,3950,9,3748,26,22,87
0103,26619,107,1050,783,145,147,8,84,,23,20,347,343,76,27,28,5640,24,3944,20,39,100
0104,20003,44,696,921,42,86,9,49,,10,19,191,212,50,18,31,4652,40,3566,22,17,197
0105,70841,459,4841,2302,429,504,32,484,,82,84,1484,1386,193,49,86,12136,39,12048,46,79,207
0106,14099,14,566,169,24,35,9,20,,15,6,166,136,34,3,8,2865,6,3388,2,22,260
0107,29844,78,1766,523,101,271,32,149,,38,56,527,961,119,19,35,5492,17,6440,18,38,93
0108,24034,93,1211,549,96,112,7,81,,24,20,314,539,76,28,36,3948,13,4132,31,26,60
0109,125534,309,7505,2735,379,876,39,426,,162,118,2157,1850,417,93,152,22891,62,27148,129,148,557
0110,35987,167,1928,843,204,170,12,182,,58,32,703,556,87,31,50,5494,25,5253,28,38,100
0111,18111,61,1118,258,86,71,6,44,,19,17,253,475,59,15,23,2248,11,3859,8,17,50
0112,9896,20,276,224,32,29,2,23,,9,7,107,111,27,10,4,1859,4,1068,7,7,46
0113,60529,156,3438,1562,184,263,26,193,,47,67,1079,719,179,48,47,10841,55,13529,59,67,297
0114,20897,79,696,1340,155,107,5,50,,20,14,248,168,30,35,24,4729,11,2193,19,25,69
0115,50421,148,3265,714,151,332,18,190,,53,35,938,1381,194,30,39,8356,21,10371,33,47,176
0116,20047,50,1303,532,65,128,6,76,,17,29,391,450,61,18,17,3131,11,4550,8,23,73
0117,10886,50,416,847,51,34,2,25,,11,8,112,97,27,12,12,2735,4,1652,12,15,53
0118,21978,87,671,1233,88,81,7,55,,24,17,264,140,28,22,17,5707,9,1856,16,7,64
0119,20689,69,1157,1817,81,80,6,88,,28,14,310,251,55,26,21,3713,13,3885,26,22,137
0201,8140,12,382,61,63,6,,20,,10,6,84,1491,76,4,9,274,3,1752,3,,
0202,6240,9,388,86,29,14,,16,,14,4,54,299,30,6,11,600,4,1590,8,,
0203,1903,3,78,18,47,5,,14,,3,0,20,213,23,2,6,140,0,372,0,,
0204,1330,2,49,41,15,0,,2,,5,2,8,156,7,0,0,80,3,263,0,,
0205,29040,81,1549,400,403,94,,138,,28,29,341,3589,174,12,54,2460,22,5501,8,,
0206,6126,18,365,61,32,19,,18,,8,4,75,836,52,2,5,337,8,1387,5,,
0207,3778,6,141,43,35,12,,14,,3,1,52,674,42,2,3,197,2,857,1,,
0208,6542,7,324,61,49,12,,13,,8,6,81,735,56,5,7,372,3,1483,4,,
0209,5998,13,232,37,20,9,,16,,6,4,35,901,40,4,5,301,10,1547,2,,
0210,12258,10,380,159,245,8,,19,,10,3,55,1083,71,6,22,653,11,2352,3,,
0211,19815,44,1181,236,155,57,,82,,51,40,273,1628,141,42,42,1496,11,4782,27,,
0212,4324,7,162,46,41,8,,7,,6,3,43,319,21,3,7,602,5,1035,4,,
0213,12745,28,437,187,140,25,,30,,11,12,105,2191,96,11,24,759,8,2236,6,,
0214,4748,12,165,44,39,10,,8,,6,4,43,540,36,2,5,273,5,1004,2,,
0301,17513,44,628,588,113,65,9,71,11,28,23,227,269,43,23,25,3671,9,3543,3,10,75
0302,106692,228,5479,3329,449,429,78,412,197,152,142,1524,1615,259,93,112,26680,77,21428,72,79,553
0303,165371,569,11192,3624,901,1183,91,1007,110,220,280,3248,5792,550,83,249,31137,114,34275,96,146,563
0304,17036,59,441,230,69,31,2,28,5,10,19,90,162,29,4,6,2978,7,4239,9,5,52
0305,17952,28,576,505,68,37,5,43,6,23,20,321,184,37,24,16,3845,15,3354,8,5,119
0306,32880,124,1429,1299,129,205,24,150,15,69,48,504,581,90,27,29,7473,12,5122,26,27,160
0307,50284,122,2216,884,177,123,21,130,37,57,51,662,994,153,24,51,8267,25,11743,42,30,392
0308,143481,452,8772,3092,428,819,81,617,69,179,152,2181,4807,575,119,173,25999,64,36468,105,89,582
0309,22044,56,726,483,75,42,3,43,4,20,25,213,250,45,6,8,4756,10,4708,7,7,84
0310,6855,43,180,153,25,13,4,14,3,8,9,64,154,19,7,4,1606,5,1280,0,5,18
0311,12989,22,336,233,51,28,1,24,0,15,22,106,178,33,1,9,2850,7,2552,7,1,53
0312,119391,265,6367,3156,415,564,49,449,45,135,128,1936,2441,290,133,121,26095,46,27302,93,99,456
0313,44417,117,1565,1203,221,140,22,123,31,59,68,528,556,110,52,42,10288,26,7651,33,38,227
0314,21268,53,1424,348,56,125,21,68,11,25,30,330,460,85,24,17,3007,11,5803,21,8,135
0401,5365,3,137,135,22,6,,7,,,5,25,41,14,3,6,1091,4,1260,1,9,18
0402,36212,155,1177,555,164,101,,82,,,30,252,357,60,42,51,6279,18,5515,26,32,69
0403,6339,14,194,142,21,16,,16,,,10,46,53,21,8,10,1249,1,1048,7,15,16
0404,3244,3,81,49,9,6,,6,,,3,12,35,9,1,7,502,2,651,3,3,16
0405,18040,30,460,463,51,33,,36,,,17,103,155,35,12,27,3104,12,2920,22,24,47
0406,7444,4,141,120,26,9,,9,,,24,38,35,9,7,6,1429,4,1265,8,15,21
0407,23474,47,684,634,116,48,,47,,,17,170,374,72,16,29,4431,11,3495,8,41,64
0408,10417,13,223,228,30,16,,23,,,8,42,41,14,4,10,2149,4,1702,7,14,39
0409,8262,14,231,169,32,10,,14,,,6,42,84,22,7,7,1460,7,1505,4,8,10
0410,6941,11,256,133,24,16,,16,,,4,41,82,30,4,7,1277,3,1269,5,7,26
0411,5806,8,93,48,13,6,,4,,,6,22,27,10,1,2,1255,1,759,3,4,5
0412,9997,7,156,155,25,4,,10,,,7,38,63,17,16,10,1683,8,1826,7,12,29
0501,6145,14,337,87,46,10,,25,,5,,72,187,30,3,6,573,7,1372,2,10,24
0502,49029,277,3075,804,485,190,,259,,82,,826,1140,183,52,97,6938,74,10683,36,81,146
0503,45057,207,3506,961,207,143,,203,,40,,611,1925,212,19,55,4500,36,11307,25,68,132
0504,26190,81,1679,498,163,105,,204,,40,,297,549,110,16,34,3365,20,5711,33,27,83
0505,8233,27,304,150,65,9,,26,,10,,71,206,39,3,9,950,11,2013,8,19,42
0506,4829,14,188,115,27,5,,5,,7,,37,49,22,3,12,1447,8,812,8,4,15
0507,4491,11,240,99,28,7,,19,,6,,32,77,27,3,3,568,3,990,7,19,15
0508,7122,19,262,213,40,28,,24,,9,,68,56,12,5,7,1542,4,1682,10,9,21
0509,13419,43,482,384,91,34,,45,,19,,146,128,41,17,15,3504,10,2446,20,15,42
0510,2750,16,104,134,24,8,,19,,3,,41,43,5,4,4,896,9,417,5,10,11
